French,Tamazight_Kabyle,LLM_Translation
Ouvre.,Ldi.,Ldi
Excellent !,Igerrez!,Igerrez!
Excellent !,Iwenneɛ!,Igerrez!
Désolé !,Suref-iyi!,Suref-iyi!
Oubliez !,Ttum!,Ttut!
Oublie !,Ttu!,ttu!
Oublie !,Shu!,Ttu!
Oubliez !,Shum!,Ttut!
Arrête !,Ḥbes!,Ḥbes!
Arrête !,Beṛka!,Ḥbes!
Arrêtez !,Ḥebsem!,Ḥebset !
Arrêtez !,Beṛkat!,Ḥebset !
Le jour où nous sommes arrivées était férié.,Newweḍ-d deg ass n lficṭa.,Ass i deg i d-nusa yella d lεid.
Recule !,Uɣal ar deffir!,Wexxer!
Reculez.,Uɣalem ar deffir.,Uɣalet ɣer deffir.
Reculez !,Uɣalem ar deffir!,Wexxret!
Revenez !,Uɣalem-d!,Uɣalet-ed!
Avance !,Ddu ar zdat!,Qeddem!
Descendez !,Ṣṣubem!,Adret !
La charrue trace un nouveau sillon.,Lmaεun yeqqaz-d aḍref-iḍen.,Lmaɛun ijerred tilmi tajdidt.
Prions !,Ad nẓallet!,A nẓall!
Prions !,Ad nedɛut!,A nẓall!
Bonjour.,Azul.,Azul.
Regarde !,Wali!,Muqel!
Regarde !,Muqqel!,Muqel!
Regarde !,Ṭṭal!,Muqel!
Regarde !,Xeẓẓeṛ!,Muqel!
Regardez !,Walim!,Muqlet!
Regardez !,Muqqlem!,Muqlet!
Regardez !,Ṭṭalem!,Muqlet!
Regardez !,Xeẓẓṛem!,Muqlet!
Croque !,Hmej!,Qrecc!
Croque !,Ɛṛeḍ!,Qrecc!
Croquez !,Hemjem!,Qreccet!
Croquez !,Ɛeṛḍem!,Qreccet !
Croque !,Jeqqem!,Qrecc!
Croquez !,Jeqqmem!,Qeṛmect!
Discutons.,Ad nehḍeṛ.,A nemselay.
Discutons.,Ad nemyehḍeṛ.,A nemselay.
Demandons.,Ad nsuter.,An-suter.
Demandons.,Ad nesteqsi.,An-suter.
Commençons.,Ad nebdu.,Anebdu.
Continuez.,Kemmlem.,Kemmlet.
Trop tard.,Iɛedda lḥal.,Iɛedda lḥal.
Bonne chance !,Afud igerrzen.,Afud igerrzen!
Et vous ?,I kunwi?,I kunwi?
Et vous ?,I kunemti?,I kunwi?
Dépêche-toi.,Ɣiwel.,Ɣiwel
Dépêche-toi.,Sixef.,Ɣiwel
Dépêche-toi.,Ddu d uḍaṛ-ik.,Ɣiwel
Aucun problème !,Ulac ugur.,Ulac ugur !
Étudiez-vous ?,Teqqaṛem?,Teqqarem?
Excuse-moi.,Suref-iyi.,Suref-iyi.
J'arrive.,Aql-iyi-n.,Aql-iyi-d n-tedduɣ.
Viens ici.,Ṛuḥ-d ar da.,As-d ɣer dagi.
Viens ici.,Aṛwaḥ ar da.,As-d ɣer dagi.
Entre donc !,Kcem ihi.,Kcem-d ihi!
Nous voilà !,Aql-aɣ da.,Aql-aɣ-d!
Ramasse-le.,Jmeɛ-it.,Ddem-it.
Reposons-nous.,Ad nesteɛfu.,A nsteɛfu.
Vas-y.,Ṛuḥ.,Ruh.
Écoute bien.,Sel-d akken iqwem.,Ssel mliḥ.
Écoute bien.,Sel-d akken iwata.,Ssel mliḥ.
Écoute bien.,Ḥess-d akken iwata.,Ssel mliḥ.
Bonne année !,Aseggas ameggaz.,Aseggas ameggaz!
Parlons anglais.,Ad nehḍeṛ s tagnizit.,A n-meslay taglizit.
Parlons anglais.,Ad nemmeslay s tegnizit.,A n-meslay taglizit.
Écoute attentivement.,Ḥess mliḥ.,Ssel s lbal.
Écoute attentivement.,Ḥess akken iqwem.,Ssel s lbal.
Écoute attentivement.,Ḥess akken iwata.,Ssel s tmeẓẓuɣt.
Viens vite !,"Aṛwaḥ, ɣiwel.",As-d s tazzla!
Viens vite !,Ɣiwel-d.,As-d deɣya!
Il essaye.,Itteɛṛaḍ.,Yettɛaraḍ
Je sais.,Ẓṛiɣ.,Sneɣ.
Je sais.,Ɛelmeɣ.,Zriɣ
Faites attention !,Ḥadrem!,Ḥadret!
Répondez-moi.,Rrem-iyi-d s wawal.,Erret-iyi-d.
Répondez-moi.,Rremt-iyi-d s wawal.,Erret-iyi-d.
Tu aimes ?,Tḥemmleḍ?,Teḥmleḍ?
Je reviendrai.,Ad d-qqleɣ.,Ad d-uɣaleɣ.
Je reviendrai.,Ad d-uɣaleɣ.,Ad d-uɣaleɣ.
Réveille-toi !,Kker fell-ak!,Aki-d!
Réveille-toi !,Kker fell-am!,Aki-d!
Essaie encore.,Ɛṛeḍ abrid-nnayeḍ.,Ɛreḍ daɣen.
Essaie encore.,Ɛṛeḍ tikkelt-nniḍen.,Aɛreḍ daɣen.
À bientôt !,Ar tufat!,Ar deqqal!
À bientôt !,Ar tikkelt-nniḍen.,Ar deqqal!
À bientôt !,Ar webrid-nnayeḍ.,Ar deqqal!
Taisez-vous !,Susmet!,Ssusemt!
Il neige.,Yekkat wedfel.,Itekkat udfel.
Noël approche.,Qṛib tameɣṛa n Nwal.,Lɛid n tlalit iqreb-d.
Savez-vous quand Tom reviendra ?,Ur teεlimeḍ ayweq ara d-yeqqel Tom ?,Teẓram melmi ara d-yuɣal Tom?
Savez-vous quand Tom reviendra ?,Ur teẓriḍ ara melmi ara d-yuɣal Tom ?,Teẓram melmi ara d-yuɣal Tom?
Nous voici !,Aql-aɣ da!,Aql-aɣ!
Qui sait ?,Anwa i yeẓṛan?,Wi issnen?
Qui sait ?,Anwa i iɛelmen?,Wi issnen?
Laisse tomber.,Anef-as.,Anf-as.
Aide-moi.,Ɛawen-iyi-d.,εiwen-iyi
Moi aussi.,Nekk daɣen.,Ula d nekk.
Calme-toi.,Sres iman-ik.,Henni iman-ik.
Calme-toi.,Thedden.,Henni iman-ik.
Reposez-vous.,Sgunfum.,Steɛfut.
Reposez-vous.,Steɛfum.,Steɛfut.
Repose-toi.,Sgunfu.,Steɛfu.
Repose-toi.,Steɛfu.,Steɛfu.
Lâche-moi !,Serreḥ-iyi!,Serreḥ-iyi !
Aidez-moi.,Ɛewnem-iyi.,Ɛiwnet-iyi
T'inquiète.,Ur tqelliq ara.,Ur ttagwad.
Lâchez-moi !,Serrḥem-iyi!,Serreḥ-et-iyi-d!
Lâchez-moi !,Surgem-iyi!,Serreḥ-iyi-t !
Lâche-moi !,Sureg-iyi.,Serreḥ-iyi!
L'économie de ce pays s'est effondrée en quelques mois.,Di kra n wayyuren kan teɣli tdamsa n tmurt-a.,Tadamsa n tmurt-agi tehudd deg kra n wagguren.
Elle nettoya le sang sur ses mains.,Tessared ifassen-is seg idammen.,Tesfeḍ idamen ɣef yifassen-is.
Tu mangeras mes oranges.,Ad teččeḍ tiḥebbuyin-iw n ččina.,Ad teččeḍ lečina-w.
Tu mangeras mes oranges.,Ad teččeḍ ččina-inu.,Ad teččeḍ tichinatin-iw.
Tom a peint la clôture.,Tom yesbeɣ isefreg-nni.,Tom iṣbeɣ afrag.
Pardon ?,Anɛam?,Ssuref-iyi?
Génial !,Igerrez!,Igerrez!
Génial !,Iwenneɛ!,Igerrez!
Courage !,Tabɣest!,Afud!
Attention !,Ḥader!,Ḥader !
Dansons.,Ad necḍeḥ.,A nceḍḥet.
Poursuis !,Ḍfeṛ!,Kemmel!
Allons !,Ad nṛuḥ!,Eyya !
Formidable !,Iwenneɛ mliḥ!,Igerrez !
Formidable !,D afelleq!,Igerrez !
Formidable !,D asdegdeg!,Igerrez !
Dépêchons-nous.,Ad nɣiwel.,Ɣiwlet
Dépêchons-nous.,Ad nsixef.,Ɣiwlet
Dépêchons-nous.,Ad neɛjel.,A nɣiwel.
Lave-toi !,Sired!,Sired iman-ik!
Lavez-vous !,Sirdem!,Ssirdet!
Lavez-vous !,Sirdemt!,Ssirdet!
Regarde-moi.,Ṭṭal-iyi-d.,Muqel-iyi.
Regarde-moi.,Muqqel-iyi-d.,Muqel-iyi.
Regarde-moi.,Xeẓẓeṛ-iyi-d.,Muqel-iyi.
Regarde-moi.,Wali-yi-d.,Muqel-iyi.
Conduis prudemment.,Nheṛ s leɛqel.,Nher s ttawil.
Conduis prudemment.,Nheṛ s ttawil.,Nher s ttawil.
Faisons-le.,Ad t-nexdem.,A t-neg.
Il dort ?,Igen?,Iṭṭes?
Il dort ?,Yeṭṭes?,Iṭṭes?
Va dormir !,Ṛuḥ ad tegneḍ!,Ruḥ ad teṭṭseḍ!
Va dormir !,Ṛuḥ ad teṭṭseḍ!,Ṛuḥ aṭṭes!
Aucun problème.,Ulac ugur.,Ulac ugur.
Aucun problème.,Ulac aɣilif,Ulac ugur.
Ça va.,Yelha.,Labas.
Ça va.,Iwenneɛ.,Labas.
"Quel que soit le problème, il existe toujours une solution.",Akken yebɣu yili wugur ɣur-s tifrat.,"Akken yebɣu yili wugur, tella dima tifrat."
Ça va.,Igerrez.,Labaṣ.
Reste calme.,Thedden.,Qqim d amehni.
Reste calme.,Sres iman-ik.,Qqim d amhenni
Regarde derrière !,Muqqel ar deffir!,Muqel deffir !
Regarde derrière !,Xeẓẓeṛ ar deffir!,Muqel ɣer deffir !
Regarde derrière !,Wali ar deffir!,Muqel deffir !
Regarde derrière !,Ṭṭal ar deffir.,Muqel deffir !
Il fera tout pour le sauver.,Ad iwwet akken ad t-id-isellek.,Ad ixdem kullec iwakken a t-isellek.
Ferme-la !,Derreɛ-itt!,Susem!
Ferme-la !,Ɣleq-itt!,Belɛ-itt!
Ferme-la !,Ṣkeṛ-itt!,Susem!
Je travaillerai.,Ad xemeɣ.,Ad xedmeɣ.
Monte-le.,Alit.,Sali-t
Montez-le.,Alim-t.,Salit.
Montez-le.,Alimt-t.,Sali-t.
Augmentez-le.,Salim-t.,Snernit-t.
Augmentez-le.,Salilt-t.,Snernit-t.
Venez ici !,Ṛuḥem-d ar da.,Aset-ed dagi !
Venez ici !,Ṛuḥemt-d ar da.,Aset-ed ɣer da !
Écarte-toi !,Jbed iman-ik!,Beɛɛed !
Écartez-vous !,Jebdem iman-nwen!,Wexxret!
Reste tranquille !,Qqim tṛankil!,Qqim d amesrar !
Restez tranquille !,Qqimet tṛankil!,Qqimet d ihenniyen!
Bien calculé !,Yettwaḥseb akken iqwem!,Tḥesbeḍ-t akken ilaq!
Bien calculé !,Yettwaḥseb akken iwata!,Tsebbed-tt-id!
Moins une !,Kkes yiwet!,Qrib !
Ça fonctionne.,Tetteddu.,Itteddu.
Me revoilà.,Aql-iyi uɣaleɣ-d.,Aql-iyi-d daɣen.
Traversons ici.,Ad nezger da.,A nezger dagi.
Signez ici.,Stenyi da.,Ssenyit dagi.
Retire-toi !,Jbed-d iman-ik!,Wexxer!
Aide-moi !,Ɛawen-iyi!,Ɛiwen-iyi!
La ferme !,Belleɛ!,Susem!
La ferme !,Ɣleq aqemmuc-ik!,Susem !
La ferme !,Susem!,Susem!
Réveillez-vous !,Kkrem fell-awen!,Akim!
Réveille-toi !,Kker fell-ak!,Aki-d !
Parle-moi !,Hḍeṛ-iyi-d!,Siwel-iyi-d!
Parle-moi !,Meslay-iyi-d!,Siwel-iyi-d!
Parlez-moi !,Heḍṛem-iyi-d!,Siwlet-iyi-d!
Parlez-moi !,Heḍremt-iyi-d!,Siwlet-iyi-d!
Parlez-moi !,Meslayemt-iyi-d!,Siwlet-iyi-d!
Parlez-moi !,Meslayem-iyi-d!,Siwlet-iyi-d!
Quelle journée !,Yelha wass-a!,A d ass!
Quelle journée !,Iwenneɛ wass-a!,A d ass!
"Enrhumé, il tousse; il est alité.","Yewwet-it waḍu, yettusu, yeṭṭef ussu.","Yenza, yettusu; yeẓẓel deg usu."
Le soleil se lève.,Icreq-d yiṭij.,Iṭij yuli-d.
Je ne veux pas répondre à sa lettre.,Ur bɣiɣ ad s-rreɣ i tebrat-is.,Ur bɣiɣ ara ad rreɣ i tebrat-is.
Sa robe rouge la distingua.,Tufrar-d s tqendurt-is tazeggaɣt.,Taqendurt-is tazeggwaɣt tessemgarad-itt.
C'est pas pour les fillettes !,Ur immug ara i teqcicin timecṭaḥ.,Mačči n tezyatin!
C'est pas pour les fillettes !,Mačči n tbestuḥin!,Mačči i teqcicin!
Donnez-moi du café s'il en reste.,Awi-d kra n lqahwa ma teqqim-d.,Fket-iyi-d lqahwa ma d-yeqqim.
Qu'est-ce qui cause le délai ?,Ayɣer amenḍar-a ?,D acu i d-issebbiben uɛeṭṭel?
"En ce moment, il travaille en France.",Tura akka atan ixeddem deg Fransa.,Tura ixeddem di Fransa.
Je rafistole mon piano comme je peux.,Aql-i ttqeεεideɣ apyanu-inu akken zemreɣ kan.,Rreqqiɛeɣ apyanu-inu akken zemreɣ.
Je n'ai pas fait de bénévolat.,Ur ddiɣ ara deg twizi.,Ur xdimeɣ ara axeddim n lebɣi.
Je vais t'envoyer le paiement aujourd'hui via Paypal.,Ad k-id-azneɣ lexlaṣ-nni s ttawil n Paypal.,Ad ak-d-azneɣ lexlas assa s Paypal.
Personne n'est parvenu à détourner Colomb de son rêve.,Yiwen ur yessaweḍ ad s-yeqḍeε targit-is i Colomb.,Yiwen ur yessaweḍ ad issebɛed Kulumb seg targit-is.
Il est en prison depuis plus de vingt ans.,Ɣur-s nnig εecrin-sna di lḥebs.,Yella deg lḥebs aya ugar n ɛecrin iseggasen.
Tom est le mari d'une actrice célèbre.,Tom d argaz n yiwet tsegbart mucaεen.,Tom d argaz n tnaẓurt yettwasnen.
Ses actions contredisaient toujours ses paroles.,Ayen ixeddem ur yeddi d wayen yeqqar.,Lefɛayel-is dima mgalen d wawal-is.
T'entends-tu bien avec ton patron ?,Temmezgeḍ-d akked umεellem-ik?,Temsafhamed mliḥ d ubas-ik?
Il dévore les danseuses des yeux.,Ata yečča ticeṭṭaḥin-a s wallen.,Ittett ticeṭṭaḥin s wallen.
Va droit au but et tout s'éclaircira.,Wwet azrem s aqerruy ad ferẓent temsal.,"Ruh srid ɣer lmeqsud, kullec ad d-iban."
Le repos n'a jamais tué personne.,Tiɣimit urǧin tenɣa yiwen.,Asgunfu ur yenɣi yiwen.
"Tant qu'il y a de la vie, il y a de l'espoir.","Ma mazal tella tudert, yella usirem.","Skud tella tmeddurt, yella usirem."
Il resta silencieux pendant le repas.,Yessusem kan mi yella itett.,Yeqqim d asusam deg lweqt n wučči.
Il devint plus sage en vieillissant.,Akken yettimɣur i yetεeqqil.,Yuɣal d unṣiḥ ugar mi i d-yewweḍ leɛmer.
Je suis très attaché à ce vieux chapeau de paille.,Ur zmireɣ ad ǧǧeɣ amḍelliw-a n teɣlelt.,Qqneɣ mliḥ ɣer uclax-agi aqdim n walim.
Fais un vœu et souffle les bougies.,Dεu ad k-d-ittunefk kra tessenseḍ ticemmaεin.,G d asirem u suḍ ticemmuɛin.
La participation des musulmans à la politique est d'une importance fondamentale pour la société.,Atekki n yimselmen deg tsertit d axatar mliḥ i tmetti.,Attekki n yinselmen deg tsertit d ayen yesɛan azal agejdan i tmetti.
La situation politique a changé.,Tbeddel tegnit tasertant.,Tagnit tasertit tbeddel.
Sa vie politique est finie.,Ur s-d-tegri tsertit.,Tfukk tmeddurt-is tasertit.
Sa vie politique est finie.,Tfukk ɣur-s tsertit.,Tfukk tmeddurt-is tasertit.
"Chaque fois que je suis venu chez lui, il était en train d'étudier.",Yal m'ara rzuɣ fell-as ttafeɣ-t la yeqqar.,"Yal tikkelt i d-usiɣ ɣuṛ-es, yella yeqqar."
La valeur d'un homme ne réside pas tant dans ce qu'il a que dans ce qu'il est.,Azal n wemdan ur yettili deg ayen yesεa am akken yella deg-s netta d acu-t.,"Azal n wergaz ur d-yekki ara deg wayen yesɛa, maca deg wayen yella."
Tu devrais continuer à travailler tant que tu as la santé.,Xdem meqqar akka tṣeḥḥiḍ.,Ilaq ad tkemleḍ lxedma skud tesɛiḍ tazmert.
Nous avons découvert leur complot avant qu'ils ne passent à l'action.,Nedla ɣef txazabit-nsen uqbel ad teḍru.,Nufa-d asentel-nsen uqbel ad bdun tigawt.
Nous ne nous soumettrons pas à un tyran.,Ur nettanez i kra umesbaṭli.,Ur nknu ara i umesbaṭli.
Sa réponse était logique.,Tiririt-is d tameẓẓult.,Tiririt-is tella d tamagant.
"Pardon, mais je n'ai pas reçu de lait chez moi aujourd'hui.",Suref-iyi kan meεna ur yi-d-iwwiḍ ara uyefki s axxam assa.,"Ssmaḥ, meɛna ur d-yewwiḍ ara uyefki ɣur-i ass-a."
Tom ronfle.,Ijexxeṛ Tom.,Isxerxer Tom.
Je les entendais débattre.,Lliɣ selleɣ-asen a skasayen.,Slayeɣ-ten ttemsawaḍen.
Son briquet a fait dix ans de service.,Abriki-ines εecr-snin i yexdem.,Lbriki-ines isɛedda ɛecra iseggasen n lxedma.
Cherche et publie ou bien on t'oublie.,"Nadi tessẓregeḍ, ma ulac ad k-ttun.",Nadi u fser neɣ ad k-nettu.
Tom a couru à toutes jambes pour annoncer la bonne nouvelle à Marie.,Tom yeṭṭef-itt d tazzla akken ad yessiweḍ lexber yelhan i Marie.,Tom yuzzel s tazzla tameqrant iwakken ad ixebber Marie s lexbar n lxiṛ.
Pourquoi m'avez-vous évitée ?,Ayen i yi-tunfeḍ?,Ayɣer i yi-tjennefem?
Il était minuit.,Tella d ttnac n yiḍ.,Tella d talemmast n yiḍ.
Il a pris un papillon entre le pouce et l'index.,Yeṭṭef-d yiwen uferṭṭeṭu gar udebbu d ccahed.,Yeṭṭef aferṭeṭṭu ger udebbu d umli.
L'armoire est à côté de la fenêtre.,Taxzant attan ɣef tama n teḍwiqt.,Tarmawa tella tama n ttaq.
Elle a parlé avec la directrice de l'école.,Temmeslay d tnemhalt uɣerbaz.,Temmeslay d tnemhalt n uɣerbaz.
Nous appelons cette ville « Le Petit Tokyo ».,Neqqar-as i temdint-a « Tokyo tameẓyant ».,Nsemma i temdint-agi « Tokyo Ameẓyan ».
Je crains que même vos amis ne puissent désormais vous sauver.,Ugdeɣ tura ula d imdukal-ik ur k-ttselliken.,Ugadeɣ belli ula d imdukkal-nwen ur kkun-zmiren ara a kkun-sellken syagi d asawen.
Ne prête pas de livres : personne ne les rend jamais. Les seuls livres que j'ai dans ma bibliothèque sont des livres qu'on m'a prêtés.,Ur reṭṭel ara idlisen: yiwen ur ten-id-yettarra. Idlisen i sɛiɣ deg temkarḍit-iw d idlisen kan i yi-d-reḍlen.,Ur rreḍ ara idlisen : yiwen ur ten-id-yettarra. Idlisen kan i sɛiɣ deg temkarḍit-iw d wid i yi-d-reḍlen.
Il a inventé une histoire au sujet du Roi.,Yesnulfa-d taqsiṭ ɣef ugellid.,Isnulfa-d taqsiṭ ɣef ugellid.
"Fermez la porte quand vous sortirez, s'il vous plaît.","Err tawwurt-nni sdeffir-k, deg leεnaya-k.","Mdelet tawwurt m'ara teffɣem, di leɛnaya-nwen."
Cette ville est à 1600 mètres au-dessus du niveau de la mer.,Tamdint teεlay s 1600 n lmitrat ɣef lebḥer.,Tamdint-agi tezga-d deg 1600 n lmitrat sennig n uswir n yilel.
Es-tu en train de me menacer ?,Tebɣiḍ ad yi-teggzeḍ ?,La yi-tthiddided?
Es-tu en train de me menacer ?,La yi-tetteggzeḍ ?,La yi-tthiddided?
Son visage était trempé de sueur.,Udem-is teccef-it-id akk tidi.,Udem-is yebzeg d tidi.
Son visage était trempé de sueur.,Tencel-it-id tidi deg udem-is.,Udem-is yebzeg d tidi.
Son visage était trempé de sueur.,Udem-is yeččur akk d tidi.,Udem-is yebzeg d tidi.
"S'il fait beau demain, allons nager à la rivière.",Ma iqeεεed lḥal azekka ad nruḥ ad nεumm deg asif.,"Ma yelha lḥal azekka, eyyaw a n-εum deg wasif."
Il porte un chapeau.,Icudd amḍelliw.,Yelsa acapew.
"Voyez-vous cette maison, là ? C'est la mienne.",Tettwaliḍ axxam-ihin ? D ayla-w.,"Twalam axxam-nni, dihin? D ayla-w."
Partout règne la saleté.,D ammus anda teqqleḍ.,Lwesx di yal amkan.
Inutile de dire que je suis venu ici pour t'aider.,Ɣas fiḥel ad s-tiniḍ usiɣ-d ad k-εawneɣ.,Ur d-yettas ara a d-iniɣ belli usiɣ-d ɣer dagi iwakken a k-ɛiwneɣ.
Il a gagné le prix la semaine passée.,Yewwi-d arraz ssmana-ya iεeddan.,Yewwi arraz ddurt iɛeddan.
"Nous parvînmes en une vallée dont la forêt était dense, où j'entendis le vent mugir entre les arbres.",Newweḍ ɣer yiwen wasif anda ufiɣ tiẓgi temsečč rniɣ sliɣ i waḍu la iremmeg gar waddagen.,"Nuweḍ ɣer yiwen n yiɣzer i deg tuzzur tẓegwa, anda i sliɣ i waḍu la yesseḥḥiḥ ger isekla."
J'espérais surprendre Tom.,Nniɣ-as ad ssxelεeɣ Tom.,Ssarmeg ad wehhmeg Tom.
C'est mon sac.,D aqrab-iw.,D asaku-iw.
Je pense qu'il est peut-être arrivé quelque chose à Tom.,Cukkeɣ yella wacu s-yeḍran i Tom.,Waqila teḍra-d kra i Tom.
Je pense qu'il est peut-être arrivé quelque chose à Tom.,Ikad-iyi-d lεacu s-yeḍran i Tom.,Waqila teḍra-d kra i Tom.
"Tout le monde est, à mes yeux, suspect.",Ɣer ɣur-i yella ccekk deg medden merra.,"Yal yiwen, ɣuṛ-i, d ameckuk."
Il était en Amérique à ce moment-là.,Yella di Marikan tallit-nni.,Yella di Marikan deg lweqt-nni.
Nous devons encore essayer de trouver un chemin à travers ce labyrinthe.,Mazal ilaq-aɣ nad neεreḍ ad d-naf kra webrid deg uslellay-a.,Mazal ilaq ad nɛreḍ ad naf abrid deg umazellu-agi.
Elle me manque.,Jjmeɣ-tt.,Txeṣṣ-iyi.
Elle me manque.,Xaqeɣ fell-as.,Txeṣ-iyi.
Elle me manque.,Cedheɣ-tt.,Tced-iyi
Il est mon rival.,D netta i d axṣim-iw.,D axsim-iw.
La liberté ne s'achète pas.,Tilelli ur tettnuz ara.,Tilelli ur d-tettwaɣ ara.
L'enfant en jouant ne connait pas la fatigue.,Yetturar uqcic ur iɛeyyu.,Aqcic mi ara yetturar ur yessin ara aɛeggu.
Les poupées aux filles et le ballon aux garçons.,Tiɛleǧtin i teqcicin ma d ddabax i warrac.,"Ticuqufin i teqcicin, ddabax i warrac."
"Ayant bu, il marche en titubant sans reconnaître son chemin.","Mi d-yeswa, iteddu yettemderkal, d abrid ur t-yeɛqil.","Mi yeswa, iteddu la yettenwiwi ur yeɛqil ara abrid-is."
Le gourmand se réserve toujours la grosse part.,"Ameqqran n uɛebbuḍ, yettaddam aḥric azuran.",Amecḥuḍ dima iḥerrez amur ameqqran i yiman-is.
Ils ont accepté la proposition.,Qeblen asumer.,Qeblen asumer.
Avez-vous prévu de participer à la réunion ?,Terriḍ-d di lbal ad tḥeḍreḍ i temlilit ?,Thevɣam ad ttekkim deg temlilit?
Il est toujours en train de se plaindre que sa chambre est petite.,"Yettcetki-d dima ɣef texxamt-is, yeqqar d tamecṭuḥt.",Dima la yetcetki belli taxxamt-is d tamezyant.
Je suis déjà habitué à ce qu'on rit de moi.,Nnumeɣ yakan ttaḍsan fell-i.,Wulfreɣ yakan ad d-tteḍsin fell-i.
L'attaque par missile a pris un grand nombre de vies.,Amisil iss i d-ẓedmen yewwi aṭas n terwiḥin.,Tiwwit s umisil tewwi aṭas n tudrin.
Ne laisse pas filer cette chance.,Ur ttaǧǧa ara tagnit-a ad k-truḥ.,Ur ttaǧǧa ara tagnit-agi ad tṛuḥ.
Il n'est pas de pire sourd que celui qui ne veut pas entendre.,Ulac wi iεeẓgen am win ur nebɣi ad isel.,Ulac amɛezzul am win ur nebɣi ad isel.
Vous ne pouvez pas renoncer à vos rêves.,Ur tezmireḍ ad tsemmḥeḍ deg tirga-k.,Ur tezmirem ara ad tsemmḥem deg tirga-nwen.
Où avez-vous eu le chapeau ?,Ansi k-d-yekka umḍelliw-a?,Anda i d-tewwim acapew?
Tom se cache quelque part.,Tom yeffer anda kra.,Tom yeffer kra n wemkan.
Comment s'appelle le poète allemand dont tous les écoliers connaissent le nom ?,Amek i s-qqaren i umedyaz-nni analman i ssnen merra warrac uɣerbaz ?,Amek i d-isem n umedyaz n Lalman i ssnen yakk inelmaden isem-is?
Le patron cherche à savoir pourquoi ses employés rechignent au travail.,Akerwa yessesten ayɣeṛ iqeddacen-is ɣunzan axeddim.,Bab n lxedma la itnadi ad iẓer acuɣer ixeddamen-is tteɛggizen deg lxedma.
Thomas prit sa douche et s'habilla en silence pour ne pas réveiller Marie.,"Thomas yessuccef, iεedda yelsa lqecc-is s leḥder kan akken ur d-yessakay Marie.","Thomas yeččer dduc, yelsa s tsusmi iwakken ur d-issekway ara Marie."
Tu ne comprends absolument rien.,Ur tfehhmeḍ ula d kra.,Ur tfehmeḍ acemma maḍi.
Elle mit des chaussettes.,Telsa iqaciren.,Tels iqashiren.
Leur incapacité à satisfaire la volonté du peuple a entraîné leur défaite aux élections.,D tizemmar ur zmiren ad ilin di lebɣi n wegdud i ten-yewwin ɣer lexsara deg tefranin.,Tifelfelt-nsen iwakken ad sbedden lebɣi n wegdud tewwi-d axessar-nsen deg tefranin.
Aimez-vous faire la grasse matinée ?,Tḥemmleḍ ad teṭṭseḍ ar azal ?,Tḥemmlem ad teṭṭsem alamma d azzal?
J'ai parlé au garçon qui semblait le plus vieux.,Meslayeɣ d uqcic-nni i d-yettbinen meqqer akk fell-asen.,Mmeslayeɣ i uqcic i d-yettbanen d ameqqran akk.
Donne-moi une seconde chance.,Efk-iyi tagnit-iḍen.,Ef-iyi-d tagnit tis snat.
Avez-vous déjà vu un écureuil ?,Teẓriḍ anziḍ di ddunit-ik?,Tezram yakan anẓid?
Avez-vous déjà vu un écureuil ?,Teẓriḍ yakan kra n wenziḍ?,Tezram yakan anẓid?
Tom divague !,Tom yeshuttur kan.,Tom la itxeṛṛif!
Tom divague !,Tom a yeshetrif.,Tom la itxeṛṛif!
J'ai de merveilleux souvenirs de Boston.,Qqimen-iyi-d waktayen igerrzen ɣef Boston.,Sɛiɣ imektayen ifazen n Boston.
Elle n'essaya pas de se dérober à la vérité.,Ur teεriḍ ara ad terwel ɣef tidet.,Ur teɛriḍ ara ad terwel i tidet.
Êtes-vous fatigué de vivre ?,Teεyiḍ si tudert?,Teɛyiḍ seg tudert?
Tom a la coqueluche.,Tom yuḍen tabucehhaqt.,Tom yuɣ-it tusut n taga.
Je me suis rendu au marché.,Sewwqeɣ.,Ruḥeɣ ɣer ssuq.
Je me suis rendu au marché.,Ruḥeɣ ɣer ssuq.,Ruḥeɣ ɣer ssuq.
"Comme le diable avait découvert l'argent, il put s'asseoir tranquillement au calme.","Segmi d-yufa cciṭan ziɣ llan yedrimen, yeqqim netta ad yesgunfu di talwit.","Imi i d-yufa cciṭan idrimen, yezmer ad iqqim di lehna s talwit."
Traduisez cette phrase en anglais.,Ssuqlet tafyirt-a ɣer tneglizit.,Suqlet tafyirt-agi s teglizit.
Traduisez cette phrase en anglais.,Err-d tafyirt-a ɣer tneglizit.,Suɣlet tafyirt-agi ɣer teglizit.
Je l'ai rencontrée par hasard à un arrêt de bus.,Mlaleɣ-t-id s usamma kan deg yiwet teɣsert n lkiran.,Mlal-eɣ-tt kan akka deg uḥebbus n lkar.
Ce n'est pas un homme sur qui on peut compter.,Mačči d argaz iɣef ara tettekleḍ.,Mačči d argaz i fella-s i nezmer ad nekel.
